"","region","country","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law","Conflicts","Fatalities","year"
"112",3,21,-0.1381951,-0.5938884,0.0115209,-0.6501819,-0.8238596,81,45,2018
"113",3,21,-0.1960228,-0.6767014,0.0698153,-0.5442569,-0.7755125,80,55,2019
"114",3,21,-0.1960228,-0.6767014,0.0698153,-0.5442569,-0.7755125,79,34,2020
"115",3,21,-0.1960228,-0.6767014,0.0698153,-0.5442569,-0.7755125,10,4,2021
"116",3,39,0.5514317,0.3781868,0.4771462,0.4888904,0.4804583,149,1,2018
"117",3,39,0.722371,0.4231587,0.4602174,0.4980351,0.5440922,279,10,2019
"118",3,39,0.722371,0.4231587,0.4602174,0.4980351,0.5440922,539,9,2020
"119",3,39,0.722371,0.4231587,0.4602174,0.4980351,0.5440922,14,1,2021
"120",3,52,-0.6006837,-0.4471425,-0.3787947,0.035562,-0.8280311,788,755,2018
"121",3,52,-0.5525649,-0.4654403,-0.127452,0.0216385,-0.7624596,878,821,2019
"122",3,52,-0.5525649,-0.4654403,-0.127452,0.0216385,-0.7624596,500,288,2020
"123",3,52,-0.5525649,-0.4654403,-0.127452,0.0216385,-0.7624596,115,79,2021
"124",3,73,-0.8205505,-0.6820061,-0.5292468,-0.1901745,-1.037602,824,623,2018
"125",3,73,-0.8984204,-0.6768408,-0.5461909,-0.2249926,-1.052289,1496,1097,2019
"126",3,73,-0.8984204,-0.6768408,-0.5461909,-0.2249926,-1.052289,893,556,2020
"127",3,73,-0.8984204,-0.6768408,-0.5461909,-0.2249926,-1.052289,65,12,2021
"128",3,78,-0.6184291,-0.6206585,-0.5217014,-0.4447892,-1.030544,736,566,2018
"129",3,78,-0.8084533,-0.6117631,-0.5306973,-0.4927323,-1.00908,1340,928,2019
"130",3,78,-0.8084533,-0.6117631,-0.5306973,-0.4927323,-1.00908,954,656,2020
"131",3,78,-0.8084533,-0.6117631,-0.5306973,-0.4927323,-1.00908,161,91,2021
"132",3,126,-1.092894,-0.8024699,-0.9427003,-0.7052147,-1.059304,296,318,2018
"133",3,126,-1.121844,-0.7708744,-1.034828,-0.6890581,-1.17569,243,25,2019
"134",3,126,-1.121844,-0.7708744,-1.034828,-0.6890581,-1.17569,95,20,2020
"135",3,126,-1.121844,-0.7708744,-1.034828,-0.6890581,-1.17569,8,1,2021
"136",3,135,-0.5544491,-0.019452,0.2688772,0.3613167,-0.0924071,503,2,2018
"137",3,135,-0.579924,0.0655402,0.3068049,0.361897,-0.119035,383,2,2019
"138",3,135,-0.579924,0.0655402,0.3068049,0.361897,-0.119035,376,3,2020
"139",3,135,-0.579924,0.0655402,0.3068049,0.361897,-0.119035,70,2,2021
"140",4,37,-0.2712651,0.4771284,-0.2912534,-0.1852444,-0.2017475,2879,36,2018
"141",4,37,-0.3234968,0.5182531,-0.2403826,-0.2446144,-0.2747186,3615,12,2019
"142",4,37,-0.3234968,0.5182531,-0.2403826,-0.2446144,-0.2747186,2357,9,2020
"143",4,37,-0.3234968,0.5182531,-0.2403826,-0.2446144,-0.2747186,155,0,2021
"144",4,91,1.424979,1.675817,1.055935,1.3436,1.53319,1454,0,2018
"145",4,91,1.475332,1.586664,1.041225,1.326957,1.537965,1300,0,2019
"146",4,91,1.475332,1.586664,1.041225,1.326957,1.537965,1527,0,2020
"147",4,91,1.475332,1.586664,1.041225,1.326957,1.537965,168,0,2021
"148",4,117,-0.4278318,-0.2333477,0.8408516,0.0273581,-0.2666385,60,1,2018
"149",4,117,-0.4417607,-0.1948303,0.6434917,-0.011242,-0.266293,94,0,2019
"150",4,117,-0.4417607,-0.1948303,0.6434917,-0.011242,-0.266293,76,0,2020
"151",4,117,-0.4417607,-0.1948303,0.6434917,-0.011242,-0.266293,14,0,2021
"152",4,129,-1.566452,-1.57276,-0.3389556,-2.361374,-1.634117,25,0,2018
"153",4,129,-1.589358,-1.396788,-0.3049034,-2.396794,-1.651461,37,10,2019
"154",4,129,-1.589358,-1.396788,-0.3049034,-2.396794,-1.651461,46,8,2020
"155",4,129,-1.589358,-1.396788,-0.3049034,-2.396794,-1.651461,15,6,2021
"156",4,161,0.6042064,1.182665,0.6009347,1.10297,1.23576,3560,0,2018
"157",4,161,0.7567343,1.376418,0.4780881,1.069813,1.194071,5404,0,2019
"158",4,161,0.7567343,1.376418,0.4780881,1.069813,1.194071,4918,0,2020
"159",4,161,0.7567343,1.376418,0.4780881,1.069813,1.194071,673,0,2021
"160",4,170,1.027812,1.362331,0.8534263,1.382462,1.111544,567,0,2018
"161",4,170,1.045266,1.436754,0.7195977,1.40276,1.141121,823,0,2019
"162",4,170,1.045266,1.436754,0.7195977,1.40276,1.141121,529,0,2020
"163",4,170,1.045266,1.436754,0.7195977,1.40276,1.141121,123,0,2021
"164",5,29,-1.450813,-1.419982,-1.561205,-0.9778942,-1.496228,844,287,2018
"165",5,29,-1.45847,-1.326322,-1.64903,-0.9495389,-1.431905,791,303,2019
"166",5,29,-1.45847,-1.326322,-1.64903,-0.9495389,-1.431905,646,329,2020
"167",5,29,-1.45847,-1.326322,-1.64903,-0.9495389,-1.431905,52,35,2021
"168",5,47,-0.7168902,-0.8990966,-0.1290753,-0.6979581,-0.9224761,3,0,2018
"169",5,47,-0.8556599,-0.7133427,-0.3445927,-0.7717019,-0.9144034,18,4,2019
"170",5,47,-0.8556599,-0.7133427,-0.3445927,-0.7717019,-0.9144034,35,0,2020
"171",5,47,-0.8556599,-0.7133427,-0.3445927,-0.7717019,-0.9144034,11,2,2021
"172",5,54,-1.316185,-1.727732,-0.5966769,-2.213971,-1.586008,6,1,2018
"173",5,54,-1.394767,-1.757369,-0.7195499,-2.274918,-1.595496,4,0,2019
"174",5,54,-1.394767,-1.757369,-0.7195499,-2.274918,-1.595496,8,1,2020
"175",5,54,-1.394767,-1.757369,-0.7195499,-2.274918,-1.595496,1,0,2021
"176",5,57,-0.4862171,-0.6074697,-1.269462,-0.9712701,-0.4283645,782,1402,2018
"177",5,57,-0.4064651,-0.6345773,-1.279597,-0.8889709,-0.4734782,318,667,2019
"178",5,57,-0.4064651,-0.6345773,-1.279597,-0.8889709,-0.4734782,433,3268,2020
