"","year","region","country","FatalitiesName","ConflictsName","Fatalities","Conflicts","Control of Corruption","Government Effectiveness","Political Stability and Absence of Violence/Terrorism","Regulatory Quality","Rule of Law"
"84",2021,"Caucasus and Central Asia","Armenia",0,55,0,55,-0.1841683,-0.0668174,-0.5064107,0.2495153,-0.1312758
"85",2018,"Caucasus and Central Asia","Azerbaijan",41,6894,41,2500,-0.8286991,-0.1004674,-0.6974149,-0.3006527,-0.6002193
"86",2019,"Caucasus and Central Asia","Azerbaijan",14,4466,14,2500,-0.8684072,-0.1391768,-0.681131,-0.2266413,-0.5772703
"87",2020,"Caucasus and Central Asia","Azerbaijan",6670,4188,1000,2500,-0.8684072,-0.1391768,-0.681131,-0.2266413,-0.5772703
"88",2021,"Caucasus and Central Asia","Azerbaijan",10,32,10,32,-0.8684072,-0.1391768,-0.681131,-0.2266413,-0.5772703
"89",2018,"Caucasus and Central Asia","Georgia",3,672,3,672,0.7081019,0.6145709,-0.4326036,1.125836,0.3276485
"90",2019,"Caucasus and Central Asia","Georgia",3,879,3,879,0.6684984,0.8299233,-0.4458558,1.122067,0.3099792
"91",2020,"Caucasus and Central Asia","Georgia",1,925,1,925,0.6684984,0.8299233,-0.4458558,1.122067,0.3099792
"92",2021,"Caucasus and Central Asia","Georgia",0,164,0,164,0.6684984,0.8299233,-0.4458558,1.122067,0.3099792
"93",2018,"Caucasus and Central Asia","Kazakhstan",3,152,3,152,-0.5017782,0.0217204,-0.030635,0.125332,-0.4316792
"94",2019,"Caucasus and Central Asia","Kazakhstan",5,554,5,554,-0.3199823,0.1247125,-0.0834486,0.1372265,-0.4324133
"95",2020,"Caucasus and Central Asia","Kazakhstan",21,850,21,850,-0.3199823,0.1247125,-0.0834486,0.1372265,-0.4324133
"96",2021,"Caucasus and Central Asia","Kazakhstan",0,148,0,148,-0.3199823,0.1247125,-0.0834486,0.1372265,-0.4324133
"97",2018,"Caucasus and Central Asia","Kyrgyzstan",4,169,4,169,-0.9544102,-0.6115379,-0.5845503,-0.3528325,-0.9075518
"98",2019,"Caucasus and Central Asia","Kyrgyzstan",8,282,8,282,-0.9454194,-0.6815209,-0.4097819,-0.347351,-0.8863015
"99",2020,"Caucasus and Central Asia","Kyrgyzstan",2,339,2,339,-0.9454194,-0.6815209,-0.4097819,-0.347351,-0.8863015
"100",2021,"Caucasus and Central Asia","Kyrgyzstan",0,83,0,83,-0.9454194,-0.6815209,-0.4097819,-0.347351,-0.8863015
"101",2018,"Caucasus and Central Asia","Tajikistan",62,25,62,25,-1.415277,-1.097704,-0.738063,-1.047201,-1.282325
"102",2019,"Caucasus and Central Asia","Tajikistan",66,40,66,40,-1.321173,-1.049005,-0.5751481,-1.011065,-1.227941
"103",2020,"Caucasus and Central Asia","Tajikistan",2,28,2,28,-1.321173,-1.049005,-0.5751481,-1.011065,-1.227941
"104",2018,"Caucasus and Central Asia","Turkmenistan",25,7,25,7,-1.357909,-1.044102,-0.0044727,-1.979135,-1.451999
"105",2019,"Caucasus and Central Asia","Turkmenistan",8,15,8,15,-1.511905,-1.15624,-0.093641,-1.957602,-1.414785
"106",2020,"Caucasus and Central Asia","Turkmenistan",1,16,1,16,-1.511905,-1.15624,-0.093641,-1.957602,-1.414785
"107",2021,"Caucasus and Central Asia","Turkmenistan",0,1,0,1,-1.511905,-1.15624,-0.093641,-1.957602,-1.414785
"108",2018,"Caucasus and Central Asia","Uzbekistan",2,26,2,26,-1.068842,-0.5470828,-0.2870433,-1.084991,-1.07343
"109",2019,"Caucasus and Central Asia","Uzbekistan",3,84,3,84,-1.053791,-0.514649,-0.2724334,-0.9932925,-1.048182
"110",2020,"Caucasus and Central Asia","Uzbekistan",3,222,3,222,-1.053791,-0.514649,-0.2724334,-0.9932925,-1.048182
"111",2021,"Caucasus and Central Asia","Uzbekistan",0,54,0,54,-1.053791,-0.514649,-0.2724334,-0.9932925,-1.048182
"112",2018,"Central America","Belize",45,81,45,81,-0.1381951,-0.5938884,0.0115209,-0.6501819,-0.8238596
